year,sex,source,scenario,region,ex_mean,ex_ll,ex_ul,ex_sd,lss_mean,lss_ll,lss_ul,lss_sd,case,ex_noc
2015,Females,Historic,NA,West Bank,79.59941242,NA,NA,NA,0.02125224,NA,NA,NA,lc_pcbs_2019,79.62066466
2015,Males,Historic,NA,West Bank,75.18096863,NA,NA,NA,0.209492928,NA,NA,NA,lc_pcbs_2019,75.39046156
2016,Females,Historic,NA,West Bank,79.64116675,NA,NA,NA,0.020581356,NA,NA,NA,lc_pcbs_2019,79.66174811
2016,Males,Historic,NA,West Bank,75.7311446,NA,NA,NA,0.162169894,NA,NA,NA,lc_pcbs_2019,75.8933145
2017,Females,Historic,NA,West Bank,79.75148231,NA,NA,NA,0.006973501,NA,NA,NA,lc_pcbs_2019,79.75845581
2017,Males,Historic,NA,West Bank,76.67617961,NA,NA,NA,0.068631969,NA,NA,NA,lc_pcbs_2019,76.74481158
2018,Females,Historic,NA,West Bank,80.35506423,NA,NA,NA,0,NA,NA,NA,lc_pcbs_2019,80.35506423
2018,Males,Historic,NA,West Bank,76.74074363,NA,NA,NA,0.067711608,NA,NA,NA,lc_pcbs_2019,76.80845524
2019,Females,Historic,NA,West Bank,79.98828243,NA,NA,NA,0.00464793,NA,NA,NA,lc_pcbs_2019,79.99293036
2019,Males,Historic,NA,West Bank,76.3416506,NA,NA,NA,0.044808375,NA,NA,NA,lc_pcbs_2019,76.38645897
2020,Females,Historic,NA,West Bank,78.63478512,NA,NA,NA,0,NA,NA,NA,lc_pcbs_2019,78.63478512
2020,Males,Historic,NA,West Bank,74.54920102,NA,NA,NA,0.043335436,NA,NA,NA,lc_pcbs_2019,74.59253646
2021,Females,Historic,NA,West Bank,77.581347,NA,NA,NA,0.009932664,NA,NA,NA,lc_pcbs_2019,77.59127967
2021,Males,Historic,NA,West Bank,73.71274436,NA,NA,NA,0.12580256,NA,NA,NA,lc_pcbs_2019,73.83854692
2022,Females,Historic,NA,West Bank,80.16245944,NA,NA,NA,0.014606281,NA,NA,NA,lc_pcbs_2019,80.17706572
2022,Males,Historic,NA,West Bank,75.63410317,NA,NA,NA,0.245994959,NA,NA,NA,lc_pcbs_2019,75.88009813
2012,Total,Historic,NA,Gaza Strip,74.21390163,NA,NA,NA,0.457221821,NA,NA,NA,lc_pcbs_2019,74.67112345
2013,Total,Historic,NA,Gaza Strip,75.20491789,NA,NA,NA,0.015594438,NA,NA,NA,lc_pcbs_2019,75.22051233
2014,Total,Historic,NA,Gaza Strip,71.52181591,NA,NA,NA,3.837608137,NA,NA,NA,lc_pcbs_2019,75.35942404
2015,Total,Historic,NA,Gaza Strip,75.68629131,NA,NA,NA,0.036370076,NA,NA,NA,lc_pcbs_2019,75.72266139
2016,Total,Historic,NA,Gaza Strip,75.58839866,NA,NA,NA,0.012772164,NA,NA,NA,lc_pcbs_2019,75.60117082
2017,Total,Historic,NA,Gaza Strip,76.27226751,NA,NA,NA,0.035124605,NA,NA,NA,lc_pcbs_2019,76.30739212
2018,Total,Historic,NA,Gaza Strip,75.77567187,NA,NA,NA,0.378078458,NA,NA,NA,lc_pcbs_2019,76.15375033
2019,Total,Historic,NA,Gaza Strip,75.95249006,NA,NA,NA,0.157433589,NA,NA,NA,lc_pcbs_2019,76.10992364
2020,Total,Historic,NA,Gaza Strip,75.09066317,NA,NA,NA,0.001271312,NA,NA,NA,lc_pcbs_2019,75.09193449
2021,Total,Historic,NA,Gaza Strip,73.0685048,NA,NA,NA,0.323700953,NA,NA,NA,lc_pcbs_2019,73.39220575
2022,Total,Historic,NA,Gaza Strip,75.48770966,NA,NA,NA,0.045896788,NA,NA,NA,lc_pcbs_2019,75.53360645
2012,Total,Historic,NA,Palestine,75.91613047,NA,NA,NA,0.182435094,NA,NA,NA,lc_pcbs_2019,76.09856557
2013,Total,Historic,NA,Palestine,76.68774833,NA,NA,NA,0.023389508,NA,NA,NA,lc_pcbs_2019,76.71113784
2014,Total,Historic,NA,Palestine,75.26870832,NA,NA,NA,1.579147553,NA,NA,NA,lc_pcbs_2019,76.84785587
2015,Total,Historic,NA,Palestine,76.6549453,NA,NA,NA,0.087950367,NA,NA,NA,lc_pcbs_2019,76.74289566
2016,Total,Historic,NA,Palestine,76.79761613,NA,NA,NA,0.062470608,NA,NA,NA,lc_pcbs_2019,76.86008673
2017,Total,Historic,NA,Palestine,77.42631034,NA,NA,NA,0.037754983,NA,NA,NA,lc_pcbs_2019,77.46406532
2018,Total,Historic,NA,Palestine,77.43469689,NA,NA,NA,0.17632255,NA,NA,NA,lc_pcbs_2019,77.61101944
2019,Total,Historic,NA,Palestine,77.27158606,NA,NA,NA,0.079108036,NA,NA,NA,lc_pcbs_2019,77.3506941
2020,Total,Historic,NA,Palestine,75.94939301,NA,NA,NA,0.014248624,NA,NA,NA,lc_pcbs_2019,75.96364163
2021,Total,Historic,NA,Palestine,74.58153349,NA,NA,NA,0.174429172,NA,NA,NA,lc_pcbs_2019,74.75596266
2022,Total,Historic,NA,Palestine,76.86284296,NA,NA,NA,0.099766851,NA,NA,NA,lc_pcbs_2019,76.96260981
2012,Total,Historic,NA,West Bank,77.10737837,NA,NA,NA,0.009470892,NA,NA,NA,lc_pcbs_2019,77.11684926
2013,Total,Historic,NA,West Bank,77.76205657,NA,NA,NA,0.028646249,NA,NA,NA,lc_pcbs_2019,77.79070281
2014,Total,Historic,NA,West Bank,77.83701102,NA,NA,NA,0.05094556,NA,NA,NA,lc_pcbs_2019,77.88795658
2015,Total,Historic,NA,West Bank,77.35652612,NA,NA,NA,0.121912233,NA,NA,NA,lc_pcbs_2019,77.47843835
2016,Total,Historic,NA,West Bank,77.66557486,NA,NA,NA,0.095637349,NA,NA,NA,lc_pcbs_2019,77.76121221
2017,Total,Historic,NA,West Bank,78.20778653,NA,NA,NA,0.039403766,NA,NA,NA,lc_pcbs_2019,78.2471903
2018,Total,Historic,NA,West Bank,78.52495725,NA,NA,NA,0.035867216,NA,NA,NA,lc_pcbs_2019,78.56082446
2019,Total,Historic,NA,West Bank,78.13837854,NA,NA,NA,0.02583681,NA,NA,NA,lc_pcbs_2019,78.16421535
2020,Total,Historic,NA,West Bank,76.52420738,NA,NA,NA,0.023039347,NA,NA,NA,lc_pcbs_2019,76.54724672
2021,Total,Historic,NA,West Bank,75.57964547,NA,NA,NA,0.071318293,NA,NA,NA,lc_pcbs_2019,75.65096376
2022,Total,Historic,NA,West Bank,77.82252477,NA,NA,NA,0.137910333,NA,NA,NA,lc_pcbs_2019,77.9604351
