"","region","cause","year","sex","age","mx_m","mx_l","mx_u"
"208","Palestine","noconflict","23_24","m",40,0.00136626266979499,0.00136617774479499,0.00136627774479499
"209","Palestine","noconflict","23_24","m",45,0.00198995444625883,0.00198986894875883,0.00198996894875883
"210","Palestine","noconflict","23_24","m",50,0.00409011418667841,0.00409005333417841,0.00409015333417841
"211","Palestine","noconflict","23_24","m",55,0.00678189649171329,0.00678187452171329,0.00678197452171329
"212","Palestine","noconflict","23_24","m",60,0.0130414592829745,0.0130413866829745,0.0130414866829745
"213","Palestine","noconflict","23_24","m",65,0.0182386673055315,0.0182386450305315,0.0182387450305315
"214","Palestine","noconflict","23_24","m",70,0.0356061931843305,0.0356061599093305,0.0356062599093305
"215","Palestine","noconflict","23_24","m",75,0.0335314413748971,0.033531396449897,0.0335314964498971
"216","Palestine","noconflict","23_24","m",80,0.163728874229184,0.163728371179184,0.163729371179184
"217","Gaza Strip","noconflict","23","t",0,0.0128143585221542,0.0128143139269835,0.0128144139269835
"218","Gaza Strip","noconflict","23","t",1,0.000565542973585905,0.000565511200391884,0.000565611200391885
"219","Gaza Strip","noconflict","23","t",5,0.000309531555758365,0.000309492174325833,0.000309592174325835
"220","Gaza Strip","noconflict","23","t",10,0.000277029153902258,0.000276957694810213,0.000277057694810215
"221","Gaza Strip","noconflict","23","t",15,0.000248534945252338,0.000248511908444459,0.000248582561830142
"222","Gaza Strip","noconflict","23","t",20,0.000401480323438112,0.00040146463141252,0.00040150375508984
"223","Gaza Strip","noconflict","23","t",25,0.000538600663077543,0.000538567185510738,0.000538667185510738
"224","Gaza Strip","noconflict","23","t",30,0.000558180736900064,0.000558118523360784,0.000558218523360785
"225","Gaza Strip","noconflict","23","t",35,0.0009441074977356,0.000944105523773916,0.000944155506890704
"226","Gaza Strip","noconflict","23","t",40,0.00115685662147598,0.00115680126588187,0.00115690126588187
"227","Gaza Strip","noconflict","23","t",45,0.00168208047534745,0.00168206582747993,0.00168211585710339
"228","Gaza Strip","noconflict","23","t",50,0.00346663945390507,0.00346658727759291,0.00346668727759292
"229","Gaza Strip","noconflict","23","t",55,0.00605135148191282,0.00605130487657322,0.00605140487657322
"230","Gaza Strip","noconflict","23","t",60,0.0115886682870411,0.0115886163015434,0.0115887163015435
"231","Gaza Strip","noconflict","23","t",65,0.0182419797784404,0.0182419215940878,0.0182420215940878
"232","Gaza Strip","noconflict","23","t",70,0.0363359716531085,0.0363359471928156,0.0363360471928156
"233","Gaza Strip","noconflict","23","t",75,0.0405139885697224,0.0405139293186856,0.0405140293186856
"234","Gaza Strip","noconflict","23","t",80,0.165247714229309,0.165247331165681,0.165248106848978
"235","Gaza Strip","noconflict","24","t",0,0.0124920499656686,0.012491997968402,0.012492097968402
"236","Gaza Strip","noconflict","24","t",1,0.000559430373549503,0.000559384930630579,0.000559469664393125
"237","Gaza Strip","noconflict","24","t",5,0.000311361963653658,0.000311317585937482,0.000311417585937483
"238","Gaza Strip","noconflict","24","t",10,0.000279674135212249,0.000279591723664704,0.000279691723664704
"239","Gaza Strip","noconflict","24","t",15,0.000236546904790846,0.0002365107751554,0.0002365664709752
"240","Gaza Strip","noconflict","24","t",20,0.000393399366595191,0.000393343484818535,0.000393443484818537
"241","Gaza Strip","noconflict","24","t",25,0.000539779441861808,0.00053970251409855,0.000539802514098551
"242","Gaza Strip","noconflict","24","t",30,0.000542686588493607,0.000542636638657743,0.000542736638657747
"243","Gaza Strip","noconflict","24","t",35,0.000944559358964867,0.000944521535038156,0.000944572106157288
"244","Gaza Strip","noconflict","24","t",40,0.0011434335816466,0.00114341367632718,0.00114351367632718
"245","Gaza Strip","noconflict","24","t",45,0.00160850340269115,0.00160849215956489,0.00160854169790726
"246","Gaza Strip","noconflict","24","t",50,0.00340332717967845,0.00340326896718421,0.00340336896718421
"247","Gaza Strip","noconflict","24","t",55,0.00583537926565751,0.00583534659134824,0.00583544659134824
"248","Gaza Strip","noconflict","24","t",60,0.0113987490669757,0.0113987366403914,0.0113987872741421
"249","Gaza Strip","noconflict","24","t",65,0.0177122534982548,0.0177122073913638,0.0177123073913638
"250","Gaza Strip","noconflict","24","t",70,0.0360111368075233,0.0360109187224224,0.0360113392233318
"251","Gaza Strip","noconflict","24","t",75,0.0388293769042938,0.0388290601595408,0.0388296923303327
"252","Gaza Strip","noconflict","24","t",80,0.169669262186214,0.16966885918609,0.16966965918609
"253","Gaza Strip","noconflict","23_24","t",0,0.0126574564756351,0.0126574038844048,0.0126575038844048
"254","Gaza Strip","noconflict","23_24","t",1,0.000562575118727555,0.000562541565956286,0.000562641565956288
"255","Gaza Strip","noconflict","23_24","t",5,0.000310423747906261,0.000310368805173586,0.000310468805173587
"256","Gaza Strip","noconflict","23_24","t",10,0.000278311413567877,0.000278288529699303,0.000278388529699304
"257","Gaza Strip","noconflict","23_24","t",15,0.000242691269650601,0.000242663892202884,0.000242714827241027
"258","Gaza Strip","noconflict","23_24","t",20,0.000397559044328663,0.000397503720407888,0.000397603720407891
"259","Gaza Strip","noconflict","23_24","t",25,0.00053916599311905,0.0005391286929647,0.000539228692964701
"260","Gaza Strip","noconflict","23_24","t",30,0.000550673215994179,0.000550631316103866,0.000550731316103869
"261","Gaza Strip","noconflict","23_24","t",35,0.000944328298701958,0.00094428305889739,0.000944383058897393
"262","Gaza Strip","noconflict","23_24","t",40,0.00115033467867637,0.00115028627471043,0.00115038627471043
"263","Gaza Strip","noconflict","23_24","t",45,0.00164635200058943,0.00164632584692191,0.00164637608633883
"264","Gaza Strip","noconflict","23_24","t",50,0.00343576557597389,0.0034357177195965,0.0034358177195965
"265","Gaza Strip","noconflict","23_24","t",55,0.00594752809944122,0.00594748191763433,0.00594758191763433
"266","Gaza Strip","noconflict","23_24","t",60,0.0114957980235896,0.0114956031953616,0.011496008176152
"267","Gaza Strip","noconflict","23_24","t",65,0.0179857518496973,0.0179855041080134,0.0179861361558723
"268","Gaza Strip","noconflict","23_24","t",70,0.0361795848566846,0.0361791997687611,0.03617988278195
"269","Gaza Strip","noconflict","23_24","t",75,0.0397028514219768,0.0397026064510527,0.0397031074759931
"270","Gaza Strip","noconflict","23_24","t",80,0.167375834045119,0.167375456714152,0.167376456714152
"271","Palestine","noconflict","23","t",0,0.012467741054331,0.0124677025569295,0.0124677778251868
"272","Palestine","noconflict","23","t",1,0.000488821725662019,0.000488817467842927,0.000488827467842928
"273","Palestine","noconflict","23","t",5,0.000228475562564188,0.000228468855174783,0.000228478855174783
"274","Palestine","noconflict","23","t",10,0.000210564754584676,0.000210561859733953,0.000210571859733953
"275","Palestine","noconflict","23","t",15,0.000210918984389494,0.000210917633566963,0.000210922529361718
"276","Palestine","noconflict","23","t",20,0.000377659921896451,0.000377635075693279,0.000377680777967816
"277","Palestine","noconflict","23","t",25,0.000440799827104167,0.000440772974586202,0.000440823861635759
"278","Palestine","noconflict","23","t",30,0.000467680116822244,0.000467633284559921,0.000467699795297409
"279","Palestine","noconflict","23","t",35,0.000762969393090268,0.000762943634678136,0.00076300912227307
"280","Palestine","noconflict","23","t",40,0.00103408496978248,0.00103406534761519,0.00103410525693066
"281","Palestine","noconflict","23","t",45,0.00163600148574889,0.0016360003396378,0.00163600538138448
"282","Palestine","noconflict","23","t",50,0.00326836354274487,0.00326834303774711,0.00326838734259903
"283","Palestine","noconflict","23","t",55,0.00553517655166623,0.00553514023593856,0.00553521536272531
"284","Palestine","noconflict","23","t",60,0.010386769291447,0.0103867216696453,0.0103868011666824
"285","Palestine","noconflict","23","t",65,0.0150067568588454,0.0150066919780848,0.0150067971015877
"286","Palestine","noconflict","23","t",70,0.0330168184647254,0.033016781673716,0.0330168713115759
"287","Palestine","noconflict","23","t",75,0.0354268631613498,0.0354268137562466,0.035426908209639
"288","Palestine","noconflict","23","t",80,0.141392154642417,0.141391758231378,0.141392553531043
"289","Palestine","noconflict","24","t",0,0.0120896281082612,0.0120895885898686,0.0120896685898686
"290","Palestine","noconflict","24","t",1,0.00046973352399565,0.000469729588841019,0.000469739588841019
"291","Palestine","noconflict","24","t",5,0.000227725966213776,0.000227721618980853,0.000227731618980853
"292","Palestine","noconflict","24","t",10,0.000210974919096987,0.000210970281415578,0.000210975166982281
"293","Palestine","noconflict","24","t",15,0.000201054443264684,0.000201036665963865,0.000201087592240564
"294","Palestine","noconflict","24","t",20,0.000375415690624125,0.000375379117359316,0.000375434861226462
"295","Palestine","noconflict","24","t",25,0.000440755827374256,0.000440747663384018,0.000440803428855557
"296","Palestine","noconflict","24","t",30,0.000455425926852904,0.000455392388604436,0.000455448177774274
"297","Palestine","noconflict","24","t",35,0.000759442402791702,0.000759426344250664,0.000759476670079631
"298","Palestine","noconflict","24","t",40,0.00102350475477405,0.00102345857038524,0.00102351327106077
"299","Palestine","noconflict","24","t",45,0.00158553285310655,0.0015855288144743,0.0015855388144743
"300","Palestine","noconflict","24","t",50,0.00321953427873469,0.00321950565061823,0.0032195607133379
"301","Palestine","noconflict","24","t",55,0.00536925809168751,0.00536922120351074,0.00536929650988282
