"","region","cause","year","sex","age","dx_m","dx_l","dx_u","pop","mx_m","mx_l","mx_u"
"159","Gaza Strip","noconflict","23","t",65,510.737722385506,510.736093343915,510.738893137187,27997.9327128259,0.0182419797784404,0.0182419215940878,0.0182420215940878
"160","Gaza Strip","noconflict","23","t",70,719.002336383489,719.00185237255,719.003831134376,19787.6182656582,0.0363359716531085,0.0363359471928156,0.0363360471928156
"161","Gaza Strip","noconflict","23","t",75,491.575698489457,491.574979568145,491.576192916216,12133.4807024364,0.0405139885697224,0.0405139293186856,0.0405140293186856
"162","Gaza Strip","noconflict","23","t",80,1239.67476115055,1239.67188743871,1239.67770655101,7501.91775379289,0.165247714229309,0.165247331165681,0.165248106848978
"163","Gaza Strip","all","23_24","f",0,1146.85032764175,1015.90697699366,1306.9124095495,32907.5521485451,0.03485067265,0.030871545,0.039714665
"164","Gaza Strip","all","23_24","f",1,2805.12608306633,2392.80000671801,3313.14264961891,129344.945623446,0.021687172,0.01849937,0.0256147825
"165","Gaza Strip","all","23_24","f",5,3468.52438932094,2978.99485125924,4068.76523742259,137822.712045189,0.025166566075,0.0216146875,0.0295217325
"166","Gaza Strip","all","23_24","f",10,3348.59081218131,2862.92048427178,3936.43062275186,132556.254191978,0.0252616584,0.0215977775,0.0296963025
"167","Gaza Strip","all","23_24","f",15,1864.61311360478,1659.55044838793,2102.17624931557,115209.755799393,0.016184507125,0.0144046,0.0182465125
"168","Gaza Strip","all","23_24","f",20,1663.4926427346,1472.28879661292,1884.02787229181,92971.7951379931,0.01789244405,0.015835865,0.02026451
"169","Gaza Strip","all","23_24","f",25,1725.01207916679,1529.85954734953,1949.88565719049,90814.7871533084,0.018994837,0.01684593,0.021471015
"170","Gaza Strip","all","23_24","f",30,2581.91156136375,2201.07620762887,3043.88131607123,85489.6768333666,0.030201442525,0.02574669,0.03560525
"171","Gaza Strip","all","23_24","f",35,1860.26496844223,1579.93909429022,2197.88431055728,65381.2382872897,0.02845258085,0.0241650225,0.0336164375
"172","Gaza Strip","all","23_24","f",40,1427.4592298197,1210.26430817858,1682.07434166072,49747.895247178,0.028693861775,0.02432795,0.03381197
"173","Gaza Strip","all","23_24","f",45,1334.47685893504,1033.23049214016,1750.81305800796,40989.803616758,0.032556312575,0.0252070125,0.04271338
"174","Gaza Strip","all","23_24","f",50,1170.05501916251,914.084119249449,1521.45877499941,31133.9707631387,0.03758129755,0.0293597025,0.048868125
"175","Gaza Strip","all","23_24","f",55,1202.95984559752,951.486509093527,1560.24178206529,26388.1320527312,0.045587154225,0.036057365,0.0591266475
"176","Gaza Strip","all","23_24","f",60,1130.08971410334,894.183873454012,1462.43041809642,20232.6977210316,0.055854623525,0.04419499,0.072280545
"177","Gaza Strip","all","23_24","f",65,984.94796670216,796.331683821097,1245.24936415968,13931.5268786132,0.0706992116,0.0571604025,0.0893835525
"178","Gaza Strip","all","23_24","f",70,922.885948543686,775.329765168774,1134.2862317328,10079.3838352712,0.091561742625,0.0769223375,0.112535275
"179","Gaza Strip","all","23_24","f",75,676.875865666715,572.644702413688,821.90633620402,6513.65625336905,0.1039164241,0.08791448,0.126182025
"180","Gaza Strip","all","23_24","f",80,1183.73333811083,1036.0955855861,1392.40178466124,4226.06628718286,0.28010288,0.24516785,0.3294794
"181","Gaza Strip","all","23_24","m",0,1119.05924657576,1028.5399265456,1220.39074945392,34109.6023689617,0.032807748225,0.03015397,0.03577851
"182","Gaza Strip","all","23_24","m",1,2352.25775433895,2107.35426457127,2640.95993175079,134071.691457358,0.0175447757,0.015718115,0.0196981175
"183","Gaza Strip","all","23_24","m",5,2841.4209829693,2532.28183043839,3194.25865070091,143520.888009682,0.019797961275,0.017643995,0.0222564025
"184","Gaza Strip","all","23_24","m",10,3303.94560851472,2944.61723064227,3710.65877163369,138170.519688035,0.023912087875,0.0213114725,0.0268556475
"185","Gaza Strip","all","23_24","m",15,4907.08898358062,4397.08740134883,5493.54803267146,119600.894047161,0.0410288654,0.03676467,0.0459323325
