"year","sex","age","dx","source","region"
2017,"f",0,197,"pcbs_gaza","Gaza Strip"
2017,"f",1,68,"pcbs_gaza","Gaza Strip"
2017,"f",5,36,"pcbs_gaza","Gaza Strip"
2017,"f",10,17,"pcbs_gaza","Gaza Strip"
2017,"f",15,22,"pcbs_gaza","Gaza Strip"
2017,"f",20,24,"pcbs_gaza","Gaza Strip"
2017,"f",25,24,"pcbs_gaza","Gaza Strip"
2017,"f",30,28,"pcbs_gaza","Gaza Strip"
2017,"f",35,37,"pcbs_gaza","Gaza Strip"
2017,"f",40,37,"pcbs_gaza","Gaza Strip"
2017,"f",45,54,"pcbs_gaza","Gaza Strip"
2017,"f",50,71,"pcbs_gaza","Gaza Strip"
2017,"f",55,126,"pcbs_gaza","Gaza Strip"
2017,"f",60,132,"pcbs_gaza","Gaza Strip"
2017,"f",65,203,"pcbs_gaza","Gaza Strip"
2017,"f",70,261,"pcbs_gaza","Gaza Strip"
2017,"f",75,261,"pcbs_gaza","Gaza Strip"
2017,"f",80,627,"pcbs_gaza","Gaza Strip"
2018,"m",0,234,"pcbs_gaza","Gaza Strip"
2018,"m",1,73,"pcbs_gaza","Gaza Strip"
2018,"m",5,26,"pcbs_gaza","Gaza Strip"
2018,"m",10,27,"pcbs_gaza","Gaza Strip"
2018,"m",15,17,"pcbs_gaza","Gaza Strip"
2018,"m",20,26,"pcbs_gaza","Gaza Strip"
2018,"m",25,26,"pcbs_gaza","Gaza Strip"
2018,"m",30,24,"pcbs_gaza","Gaza Strip"
2018,"m",35,37,"pcbs_gaza","Gaza Strip"
2018,"m",40,45,"pcbs_gaza","Gaza Strip"
2018,"m",45,48,"pcbs_gaza","Gaza Strip"
2018,"m",50,75,"pcbs_gaza","Gaza Strip"
2018,"m",55,130,"pcbs_gaza","Gaza Strip"
2018,"m",60,145,"pcbs_gaza","Gaza Strip"
2018,"m",65,223,"pcbs_gaza","Gaza Strip"
2018,"m",70,262,"pcbs_gaza","Gaza Strip"
2018,"m",75,239,"pcbs_gaza","Gaza Strip"
2018,"m",80,565,"pcbs_gaza","Gaza Strip"
2018,"f",0,285,"pcbs_gaza","Gaza Strip"
2018,"f",1,98,"pcbs_gaza","Gaza Strip"
2018,"f",5,55,"pcbs_gaza","Gaza Strip"
2018,"f",10,62,"pcbs_gaza","Gaza Strip"
2018,"f",15,93,"pcbs_gaza","Gaza Strip"
2018,"f",20,127,"pcbs_gaza","Gaza Strip"
2018,"f",25,134,"pcbs_gaza","Gaza Strip"
2018,"f",30,87,"pcbs_gaza","Gaza Strip"
2018,"f",35,59,"pcbs_gaza","Gaza Strip"
2018,"f",40,64,"pcbs_gaza","Gaza Strip"
2018,"f",45,75,"pcbs_gaza","Gaza Strip"
2018,"f",50,169,"pcbs_gaza","Gaza Strip"
2018,"f",55,221,"pcbs_gaza","Gaza Strip"
2018,"f",60,248,"pcbs_gaza","Gaza Strip"
2018,"f",65,266,"pcbs_gaza","Gaza Strip"
2018,"f",70,282,"pcbs_gaza","Gaza Strip"
2018,"f",75,220,"pcbs_gaza","Gaza Strip"
2018,"f",80,458,"pcbs_gaza","Gaza Strip"
2019,"m",0,203,"pcbs_gaza","Gaza Strip"
2019,"m",1,66,"pcbs_gaza","Gaza Strip"
2019,"m",5,41,"pcbs_gaza","Gaza Strip"
2019,"m",10,24,"pcbs_gaza","Gaza Strip"
2019,"m",15,27,"pcbs_gaza","Gaza Strip"
2019,"m",20,22,"pcbs_gaza","Gaza Strip"
2019,"m",25,30,"pcbs_gaza","Gaza Strip"
2019,"m",30,36,"pcbs_gaza","Gaza Strip"
2019,"m",35,48,"pcbs_gaza","Gaza Strip"
2019,"m",40,37,"pcbs_gaza","Gaza Strip"
2019,"m",45,57,"pcbs_gaza","Gaza Strip"
2019,"m",50,87,"pcbs_gaza","Gaza Strip"
2019,"m",55,122,"pcbs_gaza","Gaza Strip"
2019,"m",60,154,"pcbs_gaza","Gaza Strip"
2019,"m",65,225,"pcbs_gaza","Gaza Strip"
2019,"m",70,291,"pcbs_gaza","Gaza Strip"
2019,"m",75,266,"pcbs_gaza","Gaza Strip"
2019,"m",80,576,"pcbs_gaza","Gaza Strip"
2019,"f",0,225,"pcbs_gaza","Gaza Strip"
2019,"f",1,97,"pcbs_gaza","Gaza Strip"
2019,"f",5,51,"pcbs_gaza","Gaza Strip"
2019,"f",10,45,"pcbs_gaza","Gaza Strip"
2019,"f",15,52,"pcbs_gaza","Gaza Strip"
2019,"f",20,87,"pcbs_gaza","Gaza Strip"
2019,"f",25,74,"pcbs_gaza","Gaza Strip"
2019,"f",30,61,"pcbs_gaza","Gaza Strip"
2019,"f",35,60,"pcbs_gaza","Gaza Strip"
2019,"f",40,71,"pcbs_gaza","Gaza Strip"
2019,"f",45,84,"pcbs_gaza","Gaza Strip"
2019,"f",50,148,"pcbs_gaza","Gaza Strip"
2019,"f",55,202,"pcbs_gaza","Gaza Strip"
2019,"f",60,257,"pcbs_gaza","Gaza Strip"
2019,"f",65,283,"pcbs_gaza","Gaza Strip"
2019,"f",70,299,"pcbs_gaza","Gaza Strip"
2019,"f",75,214,"pcbs_gaza","Gaza Strip"
2019,"f",80,484,"pcbs_gaza","Gaza Strip"
2020,"m",0,158,"pcbs_gaza","Gaza Strip"
2020,"m",1,69,"pcbs_gaza","Gaza Strip"
2020,"m",5,25,"pcbs_gaza","Gaza Strip"
2020,"m",10,24,"pcbs_gaza","Gaza Strip"
2020,"m",15,25,"pcbs_gaza","Gaza Strip"
2020,"m",20,31,"pcbs_gaza","Gaza Strip"
2020,"m",25,42,"pcbs_gaza","Gaza Strip"
2020,"m",30,35,"pcbs_gaza","Gaza Strip"
2020,"m",35,35,"pcbs_gaza","Gaza Strip"
2020,"m",40,47,"pcbs_gaza","Gaza Strip"
2020,"m",45,77,"pcbs_gaza","Gaza Strip"
2020,"m",50,92,"pcbs_gaza","Gaza Strip"
2020,"m",55,148,"pcbs_gaza","Gaza Strip"
2020,"m",60,166,"pcbs_gaza","Gaza Strip"
2020,"m",65,235,"pcbs_gaza","Gaza Strip"
2020,"m",70,336,"pcbs_gaza","Gaza Strip"
2020,"m",75,339,"pcbs_gaza","Gaza Strip"
2020,"m",80,597,"pcbs_gaza","Gaza Strip"
2020,"f",0,222,"pcbs_gaza","Gaza Strip"
2020,"f",1,77,"pcbs_gaza","Gaza Strip"
2020,"f",5,35,"pcbs_gaza","Gaza Strip"
2020,"f",10,43,"pcbs_gaza","Gaza Strip"
2020,"f",15,54,"pcbs_gaza","Gaza Strip"
2020,"f",20,50,"pcbs_gaza","Gaza Strip"
2020,"f",25,65,"pcbs_gaza","Gaza Strip"
2020,"f",30,54,"pcbs_gaza","Gaza Strip"
2020,"f",35,56,"pcbs_gaza","Gaza Strip"
2020,"f",40,73,"pcbs_gaza","Gaza Strip"
2020,"f",45,99,"pcbs_gaza","Gaza Strip"
2020,"f",50,171,"pcbs_gaza","Gaza Strip"
2020,"f",55,243,"pcbs_gaza","Gaza Strip"
2020,"f",60,309,"pcbs_gaza","Gaza Strip"
2020,"f",65,341,"pcbs_gaza","Gaza Strip"
2020,"f",70,353,"pcbs_gaza","Gaza Strip"
2020,"f",75,273,"pcbs_gaza","Gaza Strip"
2020,"f",80,553,"pcbs_gaza","Gaza Strip"
2021,"m",0,233,"pcbs_gaza","Gaza Strip"
2021,"m",1,72,"pcbs_gaza","Gaza Strip"
2021,"m",5,49,"pcbs_gaza","Gaza Strip"
2021,"m",10,50,"pcbs_gaza","Gaza Strip"
2021,"m",15,66,"pcbs_gaza","Gaza Strip"
2021,"m",20,76,"pcbs_gaza","Gaza Strip"
2021,"m",25,95,"pcbs_gaza","Gaza Strip"
2021,"m",30,88,"pcbs_gaza","Gaza Strip"
2021,"m",35,97,"pcbs_gaza","Gaza Strip"
2021,"m",40,104,"pcbs_gaza","Gaza Strip"
2021,"m",45,146,"pcbs_gaza","Gaza Strip"
2021,"m",50,197,"pcbs_gaza","Gaza Strip"
2021,"m",55,338,"pcbs_gaza","Gaza Strip"
2021,"m",60,424,"pcbs_gaza","Gaza Strip"
2021,"m",65,430,"pcbs_gaza","Gaza Strip"
2021,"m",70,498,"pcbs_gaza","Gaza Strip"
2021,"m",75,353,"pcbs_gaza","Gaza Strip"
2021,"m",80,592,"pcbs_gaza","Gaza Strip"
2021,"f",0,188,"pcbs_gaza","Gaza Strip"
2021,"f",1,72,"pcbs_gaza","Gaza Strip"
2021,"f",5,30,"pcbs_gaza","Gaza Strip"
2021,"f",10,48,"pcbs_gaza","Gaza Strip"
2021,"f",15,32,"pcbs_gaza","Gaza Strip"
2021,"f",20,26,"pcbs_gaza","Gaza Strip"
2021,"f",25,48,"pcbs_gaza","Gaza Strip"
